date,time,name,duration,studio,city,price
25/10/24,8:30 AM,Energizing Power Flow,90,Chandra Yoga,Canggu,140000
25/10/24,10:30 AM,Hatha Yoga: Flexibility,75,Chandra Yoga,Canggu,140000
25/10/24,4:00 PM,Gentle Hip Opening,60,Chandra Yoga,Canggu,140000
25/10/24,5:15 PM,Yin Yoga,60,Chandra Yoga,Canggu,140000
25/10/24,7:15 AM,Sunrise Flow,60,The Path,Canggu,150000
25/10/24,8:30 AM,Power Flow,75,The Path,Canggu,150000
25/10/24,10:15 AM,Vinyasa Flow Lab L2,90,The Path,Canggu,150000
25/10/24,12:00 PM,Community Class,75,The Path,Canggu,0
25/10/24,4:00 PM,Mat Pilates To Tone,60,The Path,Canggu,150000
25/10/24,5:30 PM,Slow Flow & Yin,75,The Path,Canggu,150000
26/10/24,7:30 AM,Sunrise Flow,60,Chandra Yoga,Canggu,140000
26/10/24,9:00 AM,Rise & Flow,75,Chandra Yoga,Canggu,140000
26/10/24,10:30 AM,Vinyasa Flow,75,Chandra Yoga,Canggu,140000
26/10/24,5:00 PM,Sunset Flow: Flexibility,60,Chandra Yoga,Canggu,140000
26/10/24,7:30 AM,Ashtanga Yoga,75,The Path,Canggu,150000
26/10/24,9:00 AM,Power Flow,60,The Path,Canggu,150000
26/10/24,10:15 AM,Y.O.G.A,75,The Path,Canggu,150000
26/10/24,4:00 PM,Soft Flow and Yin,60,The Path,Canggu,150000
27/10/24,9:30 AM,Morning Vinyasa Flow,75,Chandra Yoga,Canggu,140000
27/10/24,11:00 AM,Gentle Yoga,60,Chandra Yoga,Canggu,140000
27/10/24,8:30 AM,Sunrise Hatha,75,The Path,Canggu,150000
27/10/24,10:15 AM,Power flow,90,The Path,Canggu,150000
27/10/24,4:00 PM,Yin Yoga,90,The Path,Canggu,150000
28/10/24,7:00 AM,Sunrise Flow,75,Chandra Yoga,Canggu,140000
28/10/24,8:30 AM,Hatha Yoga: Hip Opening,75,Chandra Yoga,Canggu,140000
28/10/24,10:30 AM,Vinyasa Flow: Twist & Detox,75,Chandra Yoga,Canggu,140000
28/10/24,4:00 PM,Yin Yang,60,Chandra Yoga,Canggu,140000
28/10/24,5:30 PM,Gentle Hatha Flow,60,Chandra Yoga,Canggu,140000
29/10/24,8:30 AM,Power Flow,75,The Path,Canggu,150000
29/10/24,4:00 PM,Soft Flow and Yin,60,The Path,Canggu,150000
29/10/24,8:30 AM,Hatha Yoga: Hip Opening,75,Chandra Yoga,Canggu,140000
29/10/24,4:00 PM,Yin Yang,60,Chandra Yoga,Canggu,140000
29/10/24,10:30 AM,Vinyasa Flow,75,Chandra Yoga,Canggu,140000
30/10/24,8:30 AM,Energizing Power Flow,90,Chandra Yoga,Canggu,140000
30/10/24,10:30 AM,Hatha Yoga: Flexibility,75,Chandra Yoga,Canggu,140000
30/10/24,4:00 PM,Gentle Hip Opening,60,Chandra Yoga,Canggu,140000
30/10/24,5:15 PM,Yin Yoga,60,Chandra Yoga,Canggu,140000
30/10/24,7:15 AM,Sunrise Flow,60,The Path,Canggu,150000
30/10/24,8:30 AM,Power Flow,75,The Path,Canggu,150000
30/10/24,10:15 AM,Vinyasa Flow Lab L2,90,The Path,Canggu,150000
30/10/24,12:00 PM,Community Class,75,The Path,Canggu,0
30/10/24,4:00 PM,Mat Pilates To Tone,60,The Path,Canggu,150000
30/10/24,5:30 PM,Slow Flow & Yin,75,The Path,Canggu,150000
31/10/24,7:30 AM,Sunrise Flow,60,Chandra Yoga,Canggu,140000
31/10/24,9:00 AM,Rise & Flow,75,Chandra Yoga,Canggu,140000
31/10/24,10:30 AM,Vinyasa Flow,75,Chandra Yoga,Canggu,140000
31/10/24,5:00 PM,Sunset Flow: Flexibility,60,Chandra Yoga,Canggu,140000
31/10/24,7:30 AM,Ashtanga Yoga,75,The Path,Canggu,150000
31/10/24,9:00 AM,Power Flow,60,The Path,Canggu,150000
31/10/24,10:15 AM,Y.O.G.A,75,The Path,Canggu,150000
31/10/24,4:00 PM,Soft Flow and Yin,60,The Path,Canggu,150000
01/11/24,9:30 AM,Morning Vinyasa Flow,75,Chandra Yoga,Canggu,140000
01/11/24,11:00 AM,Gentle Yoga,60,Chandra Yoga,Canggu,140000
01/11/24,8:30 AM,Sunrise Hatha,75,The Path,Canggu,150000
01/11/24,10:15 AM,Power flow,90,The Path,Canggu,150000
01/11/24,4:00 PM,Yin Yoga,90,The Path,Canggu,150000
02/11/24,7:00 AM,Sunrise Flow,75,Chandra Yoga,Canggu,140000
02/11/24,8:30 AM,Hatha Yoga: Hip Opening,75,Chandra Yoga,Canggu,140000
02/11/24,10:30 AM,Vinyasa Flow: Twist & Detox,75,Chandra Yoga,Canggu,140000
02/11/24,4:00 PM,Yin Yang,60,Chandra Yoga,Canggu,140000
02/11/24,5:30 PM,Gentle Hatha Flow,60,Chandra Yoga,Canggu,140000
03/11/24,8:30 AM,Power Flow,75,The Path,Canggu,150000
03/11/24,4:00 PM,Soft Flow and Yin,60,The Path,Canggu,150000
03/11/24,8:30 AM,Hatha Yoga: Hip Opening,75,Chandra Yoga,Canggu,140000
03/11/24,4:00 PM,Yin Yang,60,Chandra Yoga,Canggu,140000
03/11/24,10:30 AM,Vinyasa Flow,75,Chandra Yoga,Canggu,140000